pigment_id,name_zh,name_en,alias,chemical_formula,pigment_type,mineral_source,main_elements,color,mohs_hardness,refractive_index,particle_morphology,raman_peaks,xrd_phases,sem_eds_features,historical_period,common_regions,stability_light,stability_humidity,stability_acid,stability_alkali,stability_salt,toxicity,remarks
P001,赤铁矿,Hematite,铁红;氧化铁红,Fe2O3,矿物颜料,天然赤铁矿或铁质赭石,Fe O,红色至红褐色,5.5-6.5,约2.94-3.22,颗粒状/片状/不规则粒状,"225,245,293,412,499,613","赤铁矿","Fe高含量，常伴Si Al Ca",先秦至明清广泛使用,中国北方石窟/中原/西域,高,高,中,高,中,低,常见红色矿物颜料
P002,针铁矿,Goethite,褐铁矿组分之一,FeO(OH),矿物颜料,天然铁氧羟化物矿物,Fe O H,黄色至黄褐色,5-5.5,约2.0-2.4,纤维状/针状/土状集合体,"244,299,385,480,550","针铁矿","Fe高含量，常伴Si Al",先秦至明清广泛使用,中原/西北/西南,中,中,低,中,低,低,常用于黄色和土黄色颜料
P003,高岭石,Kaolinite,白陶土,Al2Si2O5(OH)4,矿物颜料,高岭土矿物,Al Si O,白色,2-2.5,约1.56,鳞片状/片层状,"143,271,400,700,755","高岭石","Al Si为主，常伴少量Fe K",古代至近现代,多地常见,高,中,低,中,中,低,常作白色颜料或填料
P004,青金石,Lapis lazuli,天青石料;天然群青,"(Na,Ca)8(AlSiO4)6(S,SO4,Cl)1-2",矿物颜料,青金石矿石中提纯蓝色组分,Na Al Si S Ca,深蓝色,5-5.5,约1.5,不规则颗粒状,"258,548,803,1096","蓝方石等青金石相关相","Na Al Si S显著，常伴Ca",汉唐至明清高等级彩绘常见,阿富汗来源影响丝路石窟,高,中,低,中,中,中,高价值蓝色颜料
P005,蓝铜矿,Azurite,石青矿物,2CuCO3·Cu(OH)2,矿物颜料,天然蓝铜矿,Cu C O H,蓝色,3.5-4,约1.73-1.84,粒状/块状/不规则颗粒,"400,548,766,839,1093,1420,1575","蓝铜矿","Cu高含量，常伴C O",汉至清广泛使用,中国石窟寺/寺观壁画广泛见,中,低,低,中,低,中,常对应传统石青
P006,硬石膏,Anhydrite,无水石膏,CaSO4,矿物颜料,天然无水硫酸钙矿物,Ca S O,白色或灰白色,3-3.5,约1.57-1.61,粒状/块状,"415,495,613,1017,1127","硬石膏","Ca S显著",古代至近现代,多地可见,高,中,低,中,低,低,可作白色颜料或地仗成分
P007,朱砂,Cinnabar,辰砂,HgS,矿物颜料,天然朱砂矿,Hg S,鲜红色,2-2.5,约2.9-3.27,细粒状/致密粒状,"252,282,343","朱砂","Hg S显著",战国至清广泛使用,中国多地高等级彩绘常见,中,中,低,中,低,高,重要红色矿物颜料
P008,土红,Red ochre,红赭土,以Fe2O3为主,矿物颜料,天然含铁黏土或赭土,Fe Si Al O,红色至红褐色,待补,待补,土状/不规则颗粒,"与赤铁矿相关峰","赤铁矿+黏土矿物","Fe高并伴Si Al",古代长期使用,各地普遍,高,高,中,高,中,低,常为混合性天然土质颜料
P009,石青,Azurite pigment,蓝铜矿颜料,2CuCO3·Cu(OH)2,矿物颜料,由天然蓝铜矿加工制得,Cu C O H,蓝色,3.5-4,约1.73-1.84,颗粒状,"同蓝铜矿","蓝铜矿","Cu高含量",汉至清广泛使用,中国传统壁画常见,中,低,低,中,低,中,传统矿物蓝色颜料
P010,石绿,Malachite pigment,孔雀石颜料,Cu2CO3(OH)2,矿物颜料,由天然孔雀石加工制得,Cu C O H,绿色,3.5-4,约1.65-1.91,颗粒状/纤维状集合体,"432,543,749,1090,1490","孔雀石","Cu高含量",汉至清广泛使用,中国传统壁画常见,中,低,低,中,低,中,传统矿物绿色颜料
P011,氯铜矿,Atacamite,氯化铜矿,Cu2Cl(OH)3,矿物颜料,天然次生铜矿物,Cu Cl O H,绿色,3-3.5,约1.83-1.91,针状/柱状/粒状,"343,404,451,511,974","氯铜矿","Cu Cl显著",古代壁画中较少见但有检出,干旱区遗址较常见,中,低,低,中,低,中,可为绿色颜料或病害产物需结合文境判断
P012,雌黄,Orpiment,石黄,As2S3,矿物颜料,天然雌黄矿,As S,鲜黄色,1.5-2,约2.4,片状/叶片状/粒状,"136,154,179,202,292,312,355","雌黄","As S显著",先秦至明清,西域/中原均见,低,中,低,中,低,高,对光敏感且有毒
P013,钒铅矿,Vanadinite,待统一别名,Pb5(VO4)3Cl,矿物颜料,天然含铅钒酸盐矿物,Pb V Cl O,橙红至红褐色,3-4,约2.35-2.42,六方柱状/粒状,待补,"钒铅矿","Pb V Cl显著",近现代研究中可见分析报道,特定遗址样品,中,中,低,中,低,高,作为含铅黄色/橙色相关矿物需谨慎判定
P014,方解石白,Calcite white,白垩质方解石,CaCO3,矿物颜料,天然方解石或白垩,Ca C O,白色,3,约1.49-1.66,粒状/菱面体碎粒,"156,281,711,1085","方解石","Ca显著，常伴C O",古代广泛,各地常见,高,中,低,高,中,低,白色颜料或地仗常见成分
P015,石膏白,Gypsum white,熟石膏白?;天然石膏白,CaSO4·2H2O,矿物颜料,天然石膏,Ca S O H,白色,2,约1.52,板状/片状/粒状,"413,492,620,1008,1135","石膏","Ca S显著",古代广泛,各地常见,高,中,低,中,低,低,既可作颜料亦可作地仗材料
P016,赭石,Ochre,黄赭/红赭,以铁氧化物和黏土矿物为主,矿物颜料,天然含铁土矿,Fe Si Al O,黄褐/红褐色,待补,待补,土状/细粒状,"与赤铁矿或针铁矿相关","赤铁矿/针铁矿/黏土矿物","Fe高并伴Si Al",古代广泛,各地普遍,高,高,中,高,中,低,传统土质颜料总称
P017,钼铅矿,Wulfenite,待统一别名,PbMoO4,矿物颜料,天然铅钼酸盐矿物,Pb Mo O,橙黄至橙红色,2.5-3,约2.3-2.4,板状/片状晶体,待补,"钼铅矿","Pb Mo显著",个别样品可见,特定遗址样品,中,中,低,中,低,高,较少见需结合证据
P018,砷铅矿族矿物,Mimetite group mineral,砷铅矿族,通常为Pb5(AsO4)3Cl等,矿物颜料,天然含铅砷酸盐矿物,Pb As Cl O,黄色至黄绿色,3.5-4,待补,柱状/粒状,待补,"砷铅矿族相关相","Pb As Cl显著",个别文献报道,特定地区,中,中,低,中,低,高,应细分具体矿物种
P019,磷氯铅矿,Pyromorphite,磷灰铅矿,Pb5(PO4)3Cl,矿物颜料,天然铅磷酸盐矿物,Pb P Cl O,绿色至黄绿色,3.5-4,约2.05-2.08,柱状/粒状,待补,"磷氯铅矿","Pb P Cl显著",个别研究检出,特定遗址样品,中,中,低,中,低,高,可与砷铅矿族矿物区分
P020,红土,Red earth,红色土质颜料,以Fe2O3和黏土矿物为主,矿物颜料,天然红色土矿,Fe Si Al O,红褐色,待补,待补,土状,"与赤铁矿相关","赤铁矿+黏土矿物","Fe高伴Si Al",古代广泛,各地普遍,高,高,中,高,中,低,与土红近义可建别名关系
P021,土黄,Yellow earth,黄色土质颜料,以针铁矿和黏土矿物为主,矿物颜料,天然黄色土矿,Fe Si Al O,黄色至黄褐色,待补,待补,土状,"与针铁矿相关","针铁矿+黏土矿物","Fe高伴Si Al",古代广泛,各地普遍,中,高,低,中,中,低,传统土质黄色颜料
P022,赭黄,Yellow ochre,黄赭,以针铁矿为主,矿物颜料,天然黄赭土,Fe O Si Al,黄色,待补,待补,土状/细粒状,"与针铁矿相关","针铁矿+黏土矿物","Fe高伴Si Al",古代广泛,各地普遍,中,高,低,中,中,低,黄赭类天然颜料
P023,铁黄,Iron yellow,氧化铁黄,主要为FeO(OH),矿物颜料,天然针铁矿类或其加工物,Fe O H,黄色,待补,待补,细粒状,"与针铁矿相关","针铁矿","Fe高",古代至现代,多地,中,中,低,中,低,低,常与土黄交叉使用
P024,铁红,Iron red,氧化铁红,主要为Fe2O3,矿物颜料,天然赤铁矿类或其加工物,Fe O,红色,待补,待补,细粒状,"与赤铁矿相关","赤铁矿","Fe高",古代至现代,多地,高,高,中,高,中,低,常与赤铁矿近义使用
P025,方解石,Calcite,方解石矿物,CaCO3,矿物颜料,天然方解石,Ca C O,白色,3,约1.49-1.66,菱面体/粒状,"156,281,711,1085","方解石","Ca显著",古代广泛,各地,高,中,低,高,中,低,白色颜料或填料常见
P026,辉铜矿,Chalcocite,硫化亚铜,Cu2S,矿物颜料,天然铜硫化物,Cu S,灰黑色至深色,2.5-3,待补,粒状/致密块状,待补,"辉铜矿","Cu S显著",壁画颜料中较少见,个别样品,中,中,低,中,低,中,是否作为颜料需结合上下文
P027,雄黄,Realgar,石黄红;鸡冠石,As4S4,矿物颜料,天然雄黄矿,As S,橙红色,1.5-2,约2.48,粒状/短柱状,"122,140,186,220,273,355","雄黄","As S显著",先秦至明清,西域及中原均见,低,中,低,中,低,高,易光降解并有毒
P028,绿松石,Turquoise,待统一别名,CuAl6(PO4)4(OH)8·4H2O,矿物颜料,天然铜铝磷酸盐矿物,Cu Al P O H,蓝绿色,5-6,约1.61-1.65,隐晶质/致密块状,待补,"绿松石","Cu Al P显著",较少见,特定区域,中,中,低,中,低,中,作为颜料较少见
P029,孔雀石,Malachite,石绿矿物,Cu2CO3(OH)2,矿物颜料,天然孔雀石,Cu C O H,绿色,3.5-4,约1.65-1.91,纤维状/放射状/粒状,"432,543,749,1090,1490","孔雀石","Cu高含量",汉至清广泛使用,中国传统壁画常见,中,低,低,中,低,中,常对应传统石绿
P030,石膏,Gypsum,二水石膏,CaSO4·2H2O,矿物颜料,天然石膏,Ca S O H,白色,2,约1.52,片状/板状/粒状,"413,492,620,1008,1135","石膏","Ca S显著",古代广泛,各地,高,中,低,中,低,低,白色颜料及地仗常见
P031,重晶石,Barite,硫酸钡,BaSO4,矿物颜料,天然重晶石,Ba S O,白色,3-3.5,约1.64,板状/粒状,待补,"重晶石","Ba S显著",古代至现代,多地,高,高,高,高,高,低,白色填料和颜料成分
P032,白垩,Chalk,白垩土,CaCO3,矿物颜料,天然生物成因碳酸钙,Ca C O,白色,1-3,约1.49-1.66,微粒状/粉末状,"1085主峰明显","方解石","Ca显著",古代广泛,各地,高,中,低,高,中,低,常作白色颜料与垫层材料
P033,二水石膏,Gypsum dihydrate,石膏,CaSO4·2H2O,矿物颜料,天然或人工石膏,Ca S O H,白色,2,约1.52,片状/粒状,"413,492,620,1008,1135","石膏","Ca S显著",古代至现代,多地,高,中,低,中,低,低,与石膏可合并建同义关系
P034,碳酸钙,Calcium carbonate,方解石/白垩通称,CaCO3,矿物颜料,天然方解石或白垩,Ca C O,白色,3,约1.49-1.66,粒状/粉末状,"1085主峰明显","方解石","Ca显著",古代广泛,各地,高,中,低,高,中,低,白色颜料和填料常见
P035,铅黄,Lead yellow,铅锡黄等待细分,待细分,人工无机颜料,人工煅烧制备,Pb Sn O等,黄色,待补,待补,细粒状,待补,待补,"Pb显著，可能伴Sn",唐宋以后至近代,特定样品,高,中,低,中,低,高,名称过泛建议细分为具体相
P036,铅丹,Red lead,四氧化三铅,Pb3O4,人工无机颜料,由铅白或氧化铅加热制得,Pb O,橙红色,2.5,约2.42,细粒状,"122,152,224,313,392,550","铅丹","Pb高含量",汉至清广泛使用,中国传统壁画常见,中,中,低,中,低,高,重要人工无机红橙色颜料
P037,铅白,Lead white,碱式碳酸铅,2PbCO3·Pb(OH)2,人工无机颜料,人工腐蚀铅制备,Pb C O H,白色,3-3.5,约1.94-2.09,细粒状,"1050左右碳酸根相关峰","铅白","Pb高含量",古代至近代广泛使用,中外壁画与绘画常见,中,中,低,中,低,高,重要人工白色颜料
P038,二氧化铅,Lead dioxide,铅褐;过氧化铅,PbO2,人工无机颜料,人工氧化产物或转化产物,Pb O,棕黑色至深色,5-5.5,待补,细粒状,待补,"二氧化铅相关相","Pb高含量",近现代或病害转化中可见,特定样品,中,中,低,中,低,高,需区分原生颜料与劣化产物
P039,密陀僧,Litharge,一氧化铅,PbO,人工无机颜料,炼铅副产物或人工制备,Pb O,黄色至橙黄色,2,约2.3,片状/粉末状,待补,"密陀僧/一氧化铅","Pb高含量",古代至近代,中外绘画材料中可见,中,中,低,中,低,高,兼具颜料和干燥剂属性
P040,铬黄,Chrome yellow,铬酸铅,PbCrO4,人工无机颜料,人工合成,Pb Cr O,鲜黄色,2.5-3,约2.31,细粒状,待补,"铬黄","Pb Cr显著",近现代,近现代修复或晚期彩绘,中,中,低,中,低,高,近代人工颜料
P041,立德粉（锌钡白）,Lithopone,锌钡白,"ZnS + BaSO4",人工无机颜料,人工沉淀制备,Zn Ba S O,白色,待补,待补,细粒状,待补,"硫化锌+重晶石","Zn Ba S显著",近现代,近现代修复或晚期彩绘,中,中,中,中,中,低,近现代常见白色颜料
P042,二氧化钛,Titanium dioxide,钛白,TiO2,人工无机颜料,人工制备,Ti O,白色,5.5-6.5,约2.49-2.90,细粒状,待补,"金红石/锐钛矿型TiO2","Ti显著",20世纪以后,现代修复或晚期彩绘,高,高,高,高,高,低,典型现代白色颜料
P043,巴黎绿,Paris green,醋酸亚砷酸铜,Cu(C2H3O2)2·3Cu(AsO2)2,人工无机颜料,人工合成,Cu As C O H,鲜绿色,待补,待补,细粒状,待补,"巴黎绿相关相","Cu As显著",近现代,晚期修复或近代彩绘,中,中,低,中,低,高,有毒性强
P044,普鲁士蓝,Prussian blue,铁蓝,Fe4[Fe(CN)6]3·xH2O,人工无机颜料,人工合成,Fe C N,深蓝色,待补,约1.56,细粒状,"2150左右CN峰特征","普鲁士蓝","Fe显著，可见C N相关特征",清末以后常见,近现代修复或晚期彩绘,中,中,低,中,低,中,典型近代蓝色颜料
P045,群青（合成）,Synthetic ultramarine,人造群青,Na-Al-S-Si硅铝酸盐含硫结构,人工无机颜料,人工烧制,Na Al Si S,蓝色,待补,约1.5,细粒状,"548,803,1096附近","合成人造群青","Na Al Si S显著",19世纪以后,近现代材料中常见,高,中,中,中,中,低,应与天然青金石区分
