reference,mural,site,dynasty,pigment,mineral,color,method,page,evidence_text,source_ref,page_pdf,table_or_fig,quote_context
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","北魏","朱砂","辰砂（HgS）","红色","XRD","21","朱砂","[3]","21","表8","北魏时期红色颜料以朱砂为主"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","北魏","铅丹","四氧化三铅（Pb₃O₄）","红色","XRD","21","铅丹","[3]","21","表8","与朱砂共用，部分红色层为铅丹变色"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","北魏","红土","赭石（α-Fe₂O₃）","红色","XRD","21","红土","[3]","21","表8","即土红，含赤铁矿"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","北魏","青金石","青金石（Na₈–₆(Al₆Si₆O₂₄)(S,SO₄,Cl)₂）","蓝色","XRD","21","青金石","[3]","21","表8","蓝色颜料主要为青金石"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","北魏","石青","蓝铜矿（Cu₃(CO₃)₂(OH)₂）","蓝色","XRD","21","石青","[3]","21","表8","偶混入石绿"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","北魏","石绿","孔雀石（Cu₂(CO₃)(OH)₂）","绿色","XRD","21","石绿","[3]","21","表8","绿色颜料主为石绿，偶混氯铜矿"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","北魏","氯铜矿","氯铜矿（Cu₂Cl(OH)₃）","绿色","XRD","21","氯铜矿","[3]","21","表8","部分绿色层为氯铜矿"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","北魏","二氧化铅","PbO₂","黑色","XRD","21","二氧化铅","[3]","21","表8","黑色颜料为二氧化铅"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","西魏","红土","赭石（α-Fe₂O₃）","红色","XRD","21","红土","[3]","21","表8","西魏红色仍以红土为主"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","西魏","青金石","青金石（Na₈–₆(Al₆Si₆O₂₄)(S,SO₄,Cl)₂）","蓝色","XRD","21","青金石","[3]","21","表8","西魏蓝色仍为青金石"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","西魏","氯铜矿","氯铜矿（Cu₂Cl(OH)₃）","绿色","XRD","21","氯铜矿","[3]","21","表8","西魏绿色为氯铜矿"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","西魏","滑石、高岭土、石膏","滑石（Mg₃Si₄O₁₀(OH)₂）、高岭石（Al₂Si₂O₅(OH)₄）、石膏（CaSO₄·2H₂O）","白色","XRD","21","以高岭土为主，滑石、石膏为辅","[3]","21","表8","白色颜料为混合矿物"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","莫高窟壁画","敦煌","西魏","二氧化铅和铅丹","PbO₂ + Pb₃O₄","黑色","XRD","21","二氧化铅和铅丹","[3]","21","表8","黑色为两者混合"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","麦积山石窟","甘肃天水","北魏","土黄","羟基氧化铁（α-FeOOH）","黄色","XRD","41","土黄的显色成分为羟基氧化铁","①","41","正文p41","北魏29、39窟使用土黄；《绘事琐言》载其制法"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","巩县大力山石窟","河南巩义","不详","密陀僧","一氧化铅（PbO）","黄色","XRD","41","密陀僧，又叫黄丹、铅黄，化学成分为一氧化铅（PbO）","③","41","正文p41","罕见使用；敦煌莫高窟有推测但未发现"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","克孜尔石窟","新疆库车","魏晋","氯铜矿","氯铜矿（Cu₂Cl(OH)₃）","绿色","SEM, XRD","21,41","“绿色颜料层均匀…表明公元3世纪可能使用人造氯铜矿”","[14]","21","表8+正文p41","Birgit Schmidt 等人检测克孜尔石窟壁画含氯铜矿；汤宗辉引述并推测为人造"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","炳灵寺石窟","甘肃永靖","中晚唐","赭黄","羟基氧化铁（α-FeOOH）","黄色","XRD","41","炳灵寺11窟（中晚唐窟）中也有使用赭黄","①","41","正文p41","与土黄成分相同"
"汤宗辉. 中国北方地区石窟寺中矿物颜料的研究, 2022","云冈石窟","山西大同","清代","铁黄","羟基氧化铁（α-FeOOH）","黄色","XRD","41","云冈石窟…发现的铁黄，多半是清代重绘","①","41","正文p41","非北魏原作，为后世重绘"
