reference,mural,site,dynasty,pigment,mineral,color,method,page,evidence_text,source_ref,page_pdf,table_or_fig,quote_context
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","墨","C（非晶质碳）","黑色","偏光显微镜 + 拉曼光谱","24-25","样品01、08、12、15、19、22黑色颗粒在单偏光下中间颜色较深、边缘呈晕开状，正交偏光下全消光，与墨的偏振光特性相似；结论部分明确指出黑色颜料为墨","不详","24-25","表2、结论","文中讨论指出墨是中国特有黑色颜料，3号窟壁画黑色颜料确认为墨"
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","朱砂","HgS","红色","偏光显微镜 + 拉曼光谱","24-25","样品09红色在正交偏光下为红色，折射率较大、晶体形状为岩石状、强消光，与朱砂标准品在偏振光下的特征相似；结论指出红色颜料包含朱砂","不详","24-25","表2、结论","表2中样品09标注为朱砂；结论中概括红色颜料为朱砂、铁红或朱砂与铅丹的混合物"
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","铁红","Fe₂O₃","红色","偏光显微镜 + 拉曼光谱","24-25","样品04、17和18红色在偏光显微镜下呈暗红色，折射率较大、晶形较圆润，具有全消光性，与铁红光学特性一致，可判定为铁红；结论部分也指出红色颜料包括铁红","不详","24-25","表2、结论","表2中样品04、17、18为铁红；正文说明铁红是常见红色矿物颜料"
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","朱砂+铅丹","HgS + Pb₃O₄","红色（混合）","偏光显微镜 + 拉曼光谱","24-25","样品05红色在偏光显微镜下有两种色彩颗粒：红色颗粒特征与朱砂相似，橘黄色颗粒特征与铅丹相似，推测该样品为朱砂和铅丹的混合颜料","不详","24-25","表2","表2中样品05标注为“朱砂+铅丹”，属于混合红色颜料"
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","石绿","CuCO₃·Cu(OH)₂","绿色","偏光显微镜 + 拉曼光谱","24-25","样品11、23绿色颗粒在单偏光下为淡绿色、岩石状、密集纤维条纹、折射率稍大、强消光，与石绿偏振光特性相似；样品03和16的拉曼特征峰分别位于125、400、448、508 cm⁻¹及154、251、401、448、509 cm⁻¹，与石绿特征峰一致，判断绿色颜料为石绿","不详","24-25","表2","文中讨论说明石绿又名孔雀石，为常见铜系绿色矿物颜料"
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","石英","SiO₂","白色","偏光显微镜 + 拉曼光谱","24-25","样品02、14和20白色在单偏光下折射率小、消光性较弱、结晶情况好，根据白彩晶体光学特性可判定为石英","不详","24-25","表2","结论部分明确白色颜料包括石英和碳酸钙"
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","碳酸钙","CaCO₃","白色","偏光显微镜 + 拉曼光谱","24-25","样品21和24白色在偏光下为白色透明状、岩石状、强消光，符合碳酸钙的偏振光特征，推测该样品为碳酸钙","不详","24-25","表2","结论部分明确白色颜料包括石英和碳酸钙"
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","碳酸钙+石英","CaCO₃ + SiO₂","白色（混合）","偏光显微镜 + 拉曼光谱","24-25","样品10和13白色呈现两种状态颗粒：一种特征与碳酸钙一致，另一种特征与石英一致，因此推断样品为碳酸钙和石英的混合物","不详","24-25","表2","表2中样品10、13标注为“碳酸钙+石英”"
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","铁黄","Fe₂O₃·xH₂O","黄色","偏光显微镜 + 拉曼光谱","24-25","讨论与结论部分指出黄色颜料为铁黄；表2中样品25、26标注为铁黄","不详","24-25","表2、结论","文中说明铁黄又称氧化铁黄、黄赭石，是壁画中常用黄色颜料"
"康卫东等. 榆林市靖边清凉寺石窟3号窟壁画的初步分析","清凉寺石窟3号窟壁画","陕西省榆林市靖边县清凉寺","清代康熙年间（第1层壁画）","朱砂+铅丹","HgS + Pb₃O₄","紫色","偏光显微镜 + 拉曼光谱","24-25","样品06紫色在偏光下呈两种色彩颗粒，多数红色颗粒特征与朱砂相似，少数橘黄色颗粒特征与铅丹相似，据此推断为朱砂和铅丹的混合颜料","不详","24-25","表2","结论指出紫色颜料为铅丹和朱砂的混合物"
